Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,,
,AFE,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,7.072272441,7.716099367,8.144944192,8.189016222,8.246971987,8.249165286,8.253303447,8.23118076,8.247616272,,,
Afganistán,AFG,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,11.93670925,11.9336458,11.93211408,11.92445547,11.90301137,11.89382103,11.83867904,11.79272738,11.79885427,,,
,AFW,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,10.61338878,10.78609363,11.03306183,11.11398354,11.11346949,11.11346949,11.20190851,11.22401827,11.22401827,,,
Angola,AGO,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,3.288682121,3.769952675,3.769952675,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193,,,
Albania,ALB,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,22.84671533,22.70072993,22.59489051,22.52189781,22.46715328,22.44890511,22.63868613,22.14963504,22.31189781,,,
Andorra,AND,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,1.638297872,1.638297872,1.617021277,1.723404255,1.70212766,1.723404255,1.744680851,1.744680851,1.765957447,,,
El mundo árabe,ARB,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,3.370784886,4.413130618,4.438836103,4.462513626,4.45002531,4.458580926,4.446968488,4.453376714,4.457414207,,,
Emiratos Árabes Unidos,ARE,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,0.712475359,0.635032385,0.52238806,0.528020276,0.61954379,0.620951845,0.626584061,0.626584061,0.595606871,,,
Argentina,ARG,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,13.8784444,14.17076834,14.52630733,14.50621006,14.323873,14.323873,14.323873,14.323873,14.323873,,,
Armenia,ARM,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,15.75342466,15.77801194,15.74991219,15.74288725,15.71829996,15.69020021,15.6796628,15.66561293,15.65156305,,,
Samoa Americana,ASM,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,15,15,15,15,15,15,15,15,15,,,
Antigua y Barbuda,ATG,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,,,
Australia,AUS,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,3.312836,4.125704542,4.118219804,4.063991253,4.160251487,4.04705622,3.907556143,3.997909522,4.026770601,,,
Austria,AUT,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,16.51669472,16.46782379,16.41471037,16.40474488,16.37967597,16.31240911,16.29289869,16.10445952,16.08276781,,,
Azerbaiyán,AZE,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,22.79447348,22.81327881,22.94756708,23.29207951,23.30546919,23.44095907,24.18047659,25.33812393,25.38171171,,,
Burundi,BDI,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,36.99376947,38.94080997,42.83489097,46.72897196,46.72897196,46.72897196,46.72897196,46.72897196,46.72897196,,,
Bélgica,BEL,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,27.54293263,27.24570674,26.51915456,26.94848085,26.98150594,27.39431968,28.05151915,27.60898283,28.07133421,,,
